"1"|{"id":"1","acctId":"1","value":27,"createdAt":1569366133109}
"2"|{"id":"2","acctId":"12","value":28,"createdAt":1569513752982}
"3"|{"id":"3","acctId":"7","value":28,"createdAt":1569534010338}
"4"|{"id":"4","acctId":"11","value":28,"createdAt":1569537084420}
"5"|{"id":"5","acctId":"10","value":29,"createdAt":1569562535826}
"6"|{"id":"6","acctId":"3","value":30,"createdAt":1569569580568}
"7"|{"id":"7","acctId":"16","value":28,"createdAt":1569618611806}
"8"|{"id":"8","acctId":"9","value":30,"createdAt":1569642220902}
"9"|{"id":"9","acctId":"4","value":31,"createdAt":1569669983930}
"10"|{"id":"10","acctId":"27","value":28,"createdAt":1569681875144}
"11"|{"id":"11","acctId":"15","value":29,"createdAt":1569693180011}
"12"|{"id":"12","acctId":"2","value":31,"createdAt":1569693211688}
"13"|{"id":"13","acctId":"5","value":31,"createdAt":1569712199685}
"14"|{"id":"14","acctId":"19","value":29,"createdAt":1569725892551}
"15"|{"id":"15","acctId":"30","value":28,"createdAt":1569727002191}
"16"|{"id":"16","acctId":"8","value":31,"createdAt":1569750838791}
"17"|{"id":"17","acctId":"14","value":31,"createdAt":1569757522438}
"18"|{"id":"18","acctId":"41","value":27,"createdAt":1569765699375}
"19"|{"id":"19","acctId":"18","value":30,"createdAt":1569770700931}
"20"|{"id":"20","acctId":"44","value":27,"createdAt":1569821502286}
"21"|{"id":"21","acctId":"38","value":28,"createdAt":1569825726443}
"22"|{"id":"22","acctId":"39","value":28,"createdAt":1569849154156}
"23"|{"id":"23","acctId":"13","value":32,"createdAt":1569872892061}
"24"|{"id":"24","acctId":"32","value":29,"createdAt":1569878211056}
"25"|{"id":"25","acctId":"47","value":27,"createdAt":1569882205852}
"26"|{"id":"26","acctId":"6","value":33,"createdAt":1569891714558}
"27"|{"id":"27","acctId":"25","value":30,"createdAt":1569896456546}
"28"|{"id":"28","acctId":"20","value":32,"createdAt":1569927469523}
"29"|{"id":"29","acctId":"24","value":31,"createdAt":1569936000242}
"30"|{"id":"30","acctId":"17","value":32,"createdAt":1569941141968}
"31"|{"id":"31","acctId":"21","value":33,"createdAt":1570001523021}
"32"|{"id":"32","acctId":"48","value":29,"createdAt":1570021237868}
"33"|{"id":"33","acctId":"29","value":31,"createdAt":1570022957677}
"34"|{"id":"34","acctId":"42","value":30,"createdAt":1570024549270}
"35"|{"id":"35","acctId":"33","value":31,"createdAt":1570045627704}
"36"|{"id":"36","acctId":"36","value":30,"createdAt":1570054545661}
"37"|{"id":"37","acctId":"23","value":32,"createdAt":1570058698509}
"38"|{"id":"38","acctId":"37","value":31,"createdAt":1570083779234}
"39"|{"id":"39","acctId":"49","value":30,"createdAt":1570114033141}
"40"|{"id":"40","acctId":"34","value":32,"createdAt":1570114269735}
"41"|{"id":"41","acctId":"22","value":33,"createdAt":1570132997148}
"42"|{"id":"42","acctId":"35","value":32,"createdAt":1570144887982}
"43"|{"id":"43","acctId":"40","value":32,"createdAt":1570159382149}
"44"|{"id":"44","acctId":"53","value":30,"createdAt":1570226306377}
"45"|{"id":"45","acctId":"52","value":30,"createdAt":1570233839216}
"46"|{"id":"46","acctId":"64","value":29,"createdAt":1570242215491}
"47"|{"id":"47","acctId":"68","value":29,"createdAt":1570263374053}
"48"|{"id":"48","acctId":"54","value":31,"createdAt":1570268956029}
"49"|{"id":"49","acctId":"59","value":30,"createdAt":1570277974480}
"50"|{"id":"50","acctId":"63","value":30,"createdAt":1570278490826}
"51"|{"id":"51","acctId":"56","value":31,"createdAt":1570282192826}
"52"|{"id":"52","acctId":"28","value":35,"createdAt":1570284041587}
"53"|{"id":"53","acctId":"26","value":35,"createdAt":1570293056461}
"54"|{"id":"54","acctId":"43","value":32,"createdAt":1570293814333}
"55"|{"id":"55","acctId":"46","value":32,"createdAt":1570305247521}
"56"|{"id":"56","acctId":"57","value":31,"createdAt":1570313437234}
"57"|{"id":"57","acctId":"81","value":28,"createdAt":1570355880043}
"58"|{"id":"58","acctId":"86","value":28,"createdAt":1570367435651}
"59"|{"id":"59","acctId":"58","value":31,"createdAt":1570410347269}
"60"|{"id":"60","acctId":"66","value":31,"createdAt":1570424753951}
"61"|{"id":"61","acctId":"31","value":36,"createdAt":1570431890619}
"62"|{"id":"62","acctId":"65","value":31,"createdAt":1570435916850}
"63"|{"id":"63","acctId":"51","value":33,"createdAt":1570436975531}
"64"|{"id":"64","acctId":"82","value":29,"createdAt":1570439493547}
"65"|{"id":"65","acctId":"60","value":32,"createdAt":1570448756294}
"66"|{"id":"66","acctId":"50","value":34,"createdAt":1570466923832}
"67"|{"id":"67","acctId":"87","value":28,"createdAt":1570467169498}
"68"|{"id":"68","acctId":"73","value":30,"createdAt":1570478550417}
"69"|{"id":"69","acctId":"76","value":31,"createdAt":1570503705397}
"70"|{"id":"70","acctId":"45","value":35,"createdAt":1570510508263}
"71"|{"id":"71","acctId":"55","value":34,"createdAt":1570545142176}
"72"|{"id":"72","acctId":"71","value":32,"createdAt":1570547890352}
"73"|{"id":"73","acctId":"70","value":32,"createdAt":1570551335041}
"74"|{"id":"74","acctId":"75","value":31,"createdAt":1570570251295}
"75"|{"id":"75","acctId":"69","value":32,"createdAt":1570573168681}
"76"|{"id":"76","acctId":"78","value":31,"createdAt":1570582916450}
"77"|{"id":"77","acctId":"109","value":27,"createdAt":1570601689381}
"78"|{"id":"78","acctId":"72","value":32,"createdAt":1570616871408}
"79"|{"id":"79","acctId":"96","value":29,"createdAt":1570617163617}
"80"|{"id":"80","acctId":"80","value":31,"createdAt":1570619752536}
"81"|{"id":"81","acctId":"61","value":34,"createdAt":1570648199786}
"82"|{"id":"82","acctId":"62","value":34,"createdAt":1570652198324}
"83"|{"id":"83","acctId":"79","value":32,"createdAt":1570667146094}
"84"|{"id":"84","acctId":"89","value":30,"createdAt":1570668404659}
"85"|{"id":"85","acctId":"91","value":30,"createdAt":1570671184087}
"86"|{"id":"86","acctId":"77","value":33,"createdAt":1570681735669}
"87"|{"id":"87","acctId":"67","value":34,"createdAt":1570711293574}
"88"|{"id":"88","acctId":"88","value":31,"createdAt":1570714532494}
"89"|{"id":"89","acctId":"93","value":31,"createdAt":1570716016530}
"90"|{"id":"90","acctId":"90","value":31,"createdAt":1570736533794}
"91"|{"id":"91","acctId":"104","value":29,"createdAt":1570759299124}
"92"|{"id":"92","acctId":"74","value":34,"createdAt":1570798901808}
"93"|{"id":"93","acctId":"84","value":33,"createdAt":1570810569148}
"94"|{"id":"94","acctId":"113","value":29,"createdAt":1570811729781}
"95"|{"id":"95","acctId":"92","value":32,"createdAt":1570821462872}
"96"|{"id":"96","acctId":"98","value":32,"createdAt":1570859940206}
"97"|{"id":"97","acctId":"121","value":29,"createdAt":1570868515880}
"98"|{"id":"98","acctId":"107","value":31,"createdAt":1570869929816}
"99"|{"id":"99","acctId":"97","value":32,"createdAt":1570872601053}
"100"|{"id":"100","acctId":"112","value":30,"createdAt":1570881773472}
"101"|{"id":"101","acctId":"110","value":30,"createdAt":1570913690065}
"102"|{"id":"102","acctId":"140","value":26,"createdAt":1570915594634}
"103"|{"id":"103","acctId":"95","value":32,"createdAt":1570916438168}
"104"|{"id":"104","acctId":"105","value":31,"createdAt":1570925235091}
"105"|{"id":"105","acctId":"83","value":34,"createdAt":1570929475811}
"106"|{"id":"106","acctId":"108","value":31,"createdAt":1570944909463}
"107"|{"id":"107","acctId":"115","value":31,"createdAt":1570967246045}
"108"|{"id":"108","acctId":"129","value":29,"createdAt":1570976020571}
"109"|{"id":"109","acctId":"128","value":29,"createdAt":1570987978736}
"110"|{"id":"110","acctId":"100","value":33,"createdAt":1570999259522}
"111"|{"id":"111","acctId":"101","value":32,"createdAt":1571010765516}
"112"|{"id":"112","acctId":"123","value":29,"createdAt":1571014515584}
"113"|{"id":"113","acctId":"85","value":35,"createdAt":1571016117041}
"114"|{"id":"114","acctId":"122","value":30,"createdAt":1571017803893}
"115"|{"id":"115","acctId":"102","value":32,"createdAt":1571018059423}
"116"|{"id":"116","acctId":"99","value":34,"createdAt":1571030797358}
"117"|{"id":"117","acctId":"144","value":27,"createdAt":1571032791258}
"118"|{"id":"118","acctId":"116","value":31,"createdAt":1571038862282}
"119"|{"id":"119","acctId":"117","value":31,"createdAt":1571049801800}
"120"|{"id":"120","acctId":"130","value":29,"createdAt":1571063124109}
"121"|{"id":"121","acctId":"145","value":27,"createdAt":1571064313610}
"122"|{"id":"122","acctId":"103","value":33,"createdAt":1571064881725}
"123"|{"id":"123","acctId":"125","value":30,"createdAt":1571066937675}
